Timestamp,Source IP,Destination IP,MSE,Prediction,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd Packet Length Mean,Bwd Packet Length Mean,Destination Port
2025-07-12 17:19:58,2409:4073:86:ff5a:107d:93e3:c6c6:33d1,2405:200:1630:1400::b854:b02b,0.00031065743,BENIGN ✅,270,8,6,2866,1083,20.769230769230766,25.88163391980836,65,0,270,38.57142857142857,36.52787585236396,90,0,161,32.2,26.338185207033533,53,1,358.25,180.5,443
2025-07-12 17:19:58,2409:4073:86:ff5a:107d:93e3:c6c6:33d1,2405:200:1630:1400::b854:b02b,0.00038630888,BENIGN ✅,142,7,6,2814,1075,11.833333333333334,17.309132289229883,47,0,142,23.666666666666668,31.828708215487893,83,0,76,15.2,20.364184245876388,38,0,401.99999999999994,179.16666666666669,443
2025-07-12 17:20:03,35.244.233.98,10.144.214.190,0.00018784315,BENIGN ✅,0,1,0,68,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,68.0,0.0,42448
2025-07-12 17:20:07,2409:4073:86:ff5a:107d:93e3:c6c6:33d1,2404:6800:4007:830::200a,0.0017485771,BENIGN ✅,804,7,0,2570,0,134.0,130.5404151977463,309,0,804,134.0,130.5404151977463,309,0,0,0.0,0.0,0,0,367.14285714285717,0.0,443
2025-07-12 17:20:07,2404:6800:4007:830::200a,2409:4073:86:ff5a:107d:93e3:c6c6:33d1,0.0013248108,BENIGN ✅,788,7,0,1070,0,131.33333333333334,129.100994057624,308,0,788,131.33333333333334,129.100994057624,308,0,0,0.0,0.0,0,0,152.85714285714286,0.0,55249
2025-07-12 17:20:11,2409:4073:86:ff5a:107d:93e3:c6c6:33d1,2409:4073:86:ff5a::9b,0.0015120902,BENIGN ✅,0,1,0,215,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,215.0,0.0,0
2025-07-12 17:20:12,fe80::6496:61ff:fe8c:aea,2409:4073:86:ff5a:107d:93e3:c6c6:33d1,0.0001185279,BENIGN ✅,0,1,1,86,78,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,86.0,78.0,0
2025-07-12 17:20:20,2001:4860:4802:38::180,2409:4073:86:ff5a:107d:93e3:c6c6:33d1,0.0024862206,BENIGN ✅,350,5,0,1052,0,87.5,123.04064369142418,261,0,350,87.5,123.04064369142418,261,0,0,0.0,0.0,0,0,210.4,0.0,48017
2025-07-12 17:20:20,2409:4073:86:ff5a:107d:93e3:c6c6:33d1,2001:4860:4802:38::180,0.0013752709,BENIGN ✅,358,4,0,682,0,119.33333333333334,103.72238588334407,231,26,358,119.33333333333334,103.72238588334407,231,26,0,0.0,0.0,0,0,170.5,0.0,443
2025-07-12 17:20:21,2409:4073:86:ff5a:107d:93e3:c6c6:33d1,2404:6800:4003:c0f::bc,0.0006031903,BENIGN ✅,489,1,1,86,86,489.0,0.0,489,489,0,0.0,0.0,0,0,0,0.0,0.0,0,0,86.0,86.0,5228
2025-07-12 17:20:23,2404:6800:4007:830::200a,2409:4073:86:ff5a:107d:93e3:c6c6:33d1,0.0011266184,BENIGN ✅,493,7,0,983,0,82.16666666666667,105.72684931778998,284,0,493,82.16666666666667,105.72684931778998,284,0,0,0.0,0.0,0,0,140.42857142857144,0.0,55249
2025-07-12 17:20:23,2409:4073:86:ff5a:107d:93e3:c6c6:33d1,2404:6800:4007:830::200a,0.0012869021,BENIGN ✅,419,5,0,735,0,104.75,124.4437623989246,284,12,419,104.75,124.4437623989246,284,12,0,0.0,0.0,0,0,147.0,0.0,443
2025-07-12 17:20:24,2409:4073:86:ff5a:107d:93e3:c6c6:33d1,2404:6800:4007:830::200a,0.0007409887,BENIGN ✅,0,1,0,95,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,95.0,0.0,443
2025-07-12 17:20:24,2404:6800:4007:830::200a,2409:4073:86:ff5a:107d:93e3:c6c6:33d1,0.0026575758,ATTACK 🚨,0,1,0,205,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,205.0,0.0,55249
2025-07-12 17:20:34,2409:4073:86:ff5a:107d:93e3:c6c6:33d1,2404:6800:4003:c04::9c,0.00073986273,BENIGN ✅,330,8,6,3062,2972,25.384615384615383,40.98076471862228,104,0,330,47.14285714285714,59.50470169498814,138,0,206,41.2,55.57607398872288,106,0,382.75,495.3333333333333,443
2025-07-12 17:20:34,10.144.214.190,35.244.233.98,0.00042114707,BENIGN ✅,405,7,5,2598,1136,36.81818181818181,48.83199398308077,128,0,405,67.5,74.36060785120036,160,0,234,58.5,49.601747281051836,118,11,371.14285714285717,227.2,443
2025-07-12 17:32:35,192.168.109.190,142.250.207.74,6.85989e-05,BENIGN ✅,421,3,3,213,202,84.2,86.72773489489968,182,1,348,174.0,12.727922061357855,183,165,255,127.5,78.48885271170677,183,72,71.0,67.33333333333333,443
2025-07-12 17:32:36,192.168.109.190,142.250.207.74,0.00031556396,BENIGN ✅,641,3,0,213,0,320.5,150.61374439273462,427,214,641,320.5,150.61374439273462,427,214,0,0.0,0.0,0,0,71.0,0.0,443
2025-07-12 17:32:50,192.168.109.190,142.250.207.74,0.001212544,BENIGN ✅,386,6,5,2876,2803,38.6,93.92455601290975,301,0,369,73.8,129.33947579915423,301,0,83,20.75,30.696090956341656,65,0,479.33333333333337,560.6,443
2025-07-12 17:32:56,192.168.109.235,224.0.0.251,0.00042269562,BENIGN ✅,3,2,0,185,0,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,92.5,0.0,5353
2025-07-12 17:32:56,fe80::38b7:12ff:fe3f:5238,ff02::fb,0.00051364064,BENIGN ✅,3,2,0,225,0,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,112.5,0.0,5353
2025-07-12 17:32:56,2404:6800:4007:832::200e,2409:40f3:2c:edd1:d8e7:2a3e:a25f:26c1,0.0063761007,ATTACK 🚨,283,13,0,6082,0,23.583333333333332,43.49599424259107,155,0,283,23.583333333333332,43.49599424259107,155,0,0,0.0,0.0,0,0,467.84615384615375,0.0,59147
2025-07-12 17:32:56,2409:40f3:2c:edd1:d8e7:2a3e:a25f:26c1,2404:6800:4007:832::200e,0.00266007,ATTACK 🚨,418,13,0,9024,0,34.83333333333333,68.81573991904803,184,0,418,34.83333333333333,68.81573991904803,184,0,0,0.0,0.0,0,0,694.1538461538461,0.0,443
2025-07-12 17:32:57,192.168.109.235,224.0.0.251,0.00046157322,BENIGN ✅,0,1,0,103,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,103.0,0.0,5353
2025-07-12 17:32:57,fe80::38b7:12ff:fe3f:5238,ff02::fb,0.0006732856,BENIGN ✅,0,1,0,123,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,123.0,0.0,5353
2025-07-12 17:33:01,fe80::e393:4939:8386:9b22,fe80::38b7:12ff:fe3f:5238,0.00011852654,BENIGN ✅,2,1,1,86,78,2.0,0.0,2,2,0,0.0,0.0,0,0,0,0.0,0.0,0,0,86.0,78.0,0
2025-07-12 17:33:06,142.250.207.74,192.168.109.190,0.0012036682,BENIGN ✅,60,2,2,200,148,20.0,12.12435565298214,27,6,33,33.0,0.0,33,33,33,33.0,0.0,33,33,100.0,74.0,37351
2025-07-12 17:33:07,192.168.109.235,224.0.0.22,0.00019804336,BENIGN ✅,339,2,0,108,0,339.0,0.0,339,339,339,339.0,0.0,339,339,0,0.0,0.0,0,0,54.0,0.0,0
2025-07-12 17:33:07,fe80::38b7:12ff:fe3f:5238,ff02::16,0.0006906009,BENIGN ✅,659,2,0,180,0,659.0,0.0,659,659,659,659.0,0.0,659,659,0,0.0,0.0,0,0,90.0,0.0,0
2025-07-12 17:33:21,192.168.109.190,142.250.207.74,7.4262316e-05,BENIGN ✅,269,1,1,71,66,269.0,0.0,269,269,0,0.0,0.0,0,0,0,0.0,0.0,0,0,71.0,66.0,443
